film_title,year,letterboxd_uri,film_rating,director
2001: A Space Odyssey,1968,https://boxd.it/2bf0,5,Stanley Kubrick
A Clockwork Orange,1941,https://boxd.it/2aVE,5,Stanley Kubrick
Akira,1988,https://boxd.it/2b1i,5,Katsuhiro Otomo
Elevator to the Gallows,1958,https://boxd.it/294u,5,
Exotica,1994,https://boxd.it/1DXW,5,Atom Egoyan
Eyes Wide Shut,1999,https://boxd.it/2axs,5,Stanley Kubrick
The Passion of Joan of Arc,1928,https://boxd.it/29DO,5,Carl Theodor Dreyer
The Piano Teacher,2046,https://boxd.it/2886,5,Michael Haneke
Three Colours: Red,1994,https://boxd.it/2b7q,5,Krzysztof Kieślowski
Tokyo Story,53,https://boxd.it/1HuY,5,Yasujirō Ozu
Blade Runner,1982,https://boxd.it/2bcA,4.5,Ridley Scott
Bring Me the Head of Alfredo Garcia,1974,https://boxd.it/1SIs,4.5,Sam Peckinpah
Chinatown,1974,https://boxd.it/29vU,4.5,Roman Polanski
Crash,1996,https://boxd.it/29n2,,David Cronenberg
Cure,1997,https://boxd.it/1blA,4.5,Kiyoshi Kurosawa
Mulholland Drive,1998,https://boxd.it/297o,4.5,David Lynch
Nostalgia,1983,https://boxd.it/28Qi,,Andrei Tarkovsky
Panic Room,2000,https://boxd.it/2490,4.5,David Fincher
Amores Perros,2000,https://boxd.it/2bfu,4,Alejandro González Iñárritu
Buffalo '66,,https://boxd.it/1YC6,4,Vincent Giallo
Fat Girl,2001,https://boxd.it/2a6w,4,Catherine Breillat
Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4,John Hughes
Finding Nemo,2003,https://boxd.it/72i,4,Andrew Stanton
Force Majeure,2014,https://boxd.it/7UcA,4,Ruben Östlund
Four Nights of a Dreamer,1971,https://boxd.it/qRa,4,Robert Bresson
Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,4.25,Jim Jarmusch
Gladiator,2000,https://boxd.it/2b9m,4,Ridley Scott
In the Realm of the Senses,1976,https://boxd.it/22qS,4,Nagisa Ōshima
Jules and Jim,1962,https://boxd.it/28rM,4,François Truffaut
Kagemusha,1980,https://boxd.it/1SGG,4,Akira Kurosawa
Kapo,1960,https://boxd.it/Ou0,4,Gillo Pontecorvo
Knives Out,2019,https://boxd.it/jWEA,4,Rian Johnson
L'Argent,1983,https://boxd.it/XIg,4,Robert Bresson
L'Avventura,1960,https://boxd.it/23hs,4,Michelangelo Antonioni
"La Commune (Paris, 1871)",2000,https://boxd.it/9rO,4,Peter Watkins
Madadayo,1993,https://boxd.it/1Pcy,4,
Mean Girls,2004,https://boxd.it/1VNg,4,Mark Waters
Meshes of the Afternoon,1943,https://boxd.it/1sEE,4,"Maya Deren, Alexander Hammid"
Misery,1990,https://boxd.it/28gY,4,Rob Reiner
Moana,2016,https://boxd.it/8tfY,4,"John Musker, Ron Clements"
Moneyball,2011,https://boxd.it/glS,4,Bennett Miller
Ong-Bak,2003,https://boxd.it/1YZk,4,Prachya Pinkaew
Onibaba,1964,https://boxd.it/252a,4,Kaneto Shindō
Toy Story 2,,https://boxd.it/29qq,4,John Lasseter
Freaky Friday,,https://boxd.it/1WwK,3.5,Mark Waters
Madame Bovary,1991,https://boxd.it/26Dc,3.5,Claude Chabrol
Matt and Mara,,https://boxd.it/xuhQ,3.5,Kazik Radwanski
Thor,,https://boxd.it/1WQU,3.5,Kenneth Branagh
Three Kings,1999,https://boxd.it/21IG,3.5,David O. Russell
Black Widow,2021,https://boxd.it/hWV8,3,Cate Shortland
Bloodsport,1888,https://boxd.it/1Tee,3,Newt Arnold
Blow,2001,https://boxd.it/24Mm,3,Ted Demme
